Iter,normal,RAND,double,dueling
0,0.2,0,0.2,
1,0.3,0,0.3,
2,0.4,0,0.4,
3,0.5,0,0.5,
4,0.6,0,0.6,
5,0.7,0,0.7,
6,0.8,0,0.8,
7,0.9,0,0.9,
8,1,0,1,
9,1.1,0,1.1,
10,1.2,0,1.2,
11,1.3,0,1.3,
12,1.4,0,1.4,
13,1.5,0,1.5,
14,1.6,0,1.6,
15,1.7,0,1.7,
16,1.8,0,1.8,
17,1.9,0,1.9,
18,2,0,2,
19,2.1,0,2.1,
20,2.2,0,2.2,
21,2.3,0,2.3,
22,2.4,0,2.4,
23,2.5,0,2.5,
24,2.6,0,2.6,
25,2.7,0,2.7,
26,2.8,0,2.8,
27,2.9,0,2.9,
28,3,0,3,
29,3.1,0,3.1,
30,3.2,0,3.2,
31,3.3,0,3.3,
32,3.4,0,3.4,
33,3.5,0,3.5,
34,3.6,0,3.6,
35,3.7,0,3.7,
36,3.8,0,3.8,
37,3.9,0,3.9,
38,4,0,4,
39,4.1,0,4.1,
40,4.2,0,4.2,
41,4.3,0,4.3,
42,4.4,0,4.4,
43,4.5,0,4.5,
44,4.6,0,4.6,
45,4.7,0,4.7,
46,4.8,0,4.8,
47,-0.2,0,-0.2,
48,-0.1,0,-0.1,
49,-1.05E-15,0,-1.05E-15,
50,0.1,0,0.1,
51,0.2,0,0.2,
52,0.3,0,0.3,
53,0.4,0,0.4,
54,0.5,0,0.5,
55,0.6,0,0.6,
56,0.7,0,0.7,
57,0.8,0,0.8,
58,0.9,0,0.9,
59,1,0,1,
60,1.1,0,1.1,
61,1.2,0,1.2,
62,1.3,0,1.3,
63,1.4,0,1.4,
64,1.5,0,1.5,
65,1.6,0,1.6,
66,1.7,0,1.7,
67,1.8,0,1.8,
68,1.9,0,1.9,
69,2,0,2,
70,2.1,0,2.1,
71,2.2,0,2.2,
72,2.3,0,2.3,
73,2.4,0,2.4,
74,2.5,0,2.5,
75,2.6,0,2.6,
76,2.7,0,2.7,
77,2.8,0,2.8,
78,2.9,0,2.9,
79,3,0,3,
80,3.1,0,3.1,
81,3.2,0,3.2,
82,3.3,0,3.3,
83,3.4,0,3.4,
84,3.5,0,3.5,
85,3.6,0,3.6,
86,3.7,0,3.7,
87,3.8,0,3.8,
88,3.9,0,3.9,
89,4,0,4,
90,4.1,0,4.1,
91,4.2,0,4.2,
92,4.3,0,4.3,
93,4.4,0,4.4,
94,4.5,0,4.5,
95,4.6,0,4.6,
96,4.7,0,4.7,
97,-0.3,0,-0.3,
98,-0.2,0,-0.2,
99,-1.58E-15,0,-1.58E-15,
100,0.1,0,0.1,
101,0.2,0,0.2,
102,0.3,0,0.3,
103,0.4,0,0.4,
104,0.5,0,0.5,
105,0.6,0,0.6,
106,0.7,0,0.7,
107,0.8,0,0.8,
108,0.9,0,0.9,
109,1,0,1,
110,1.1,0,1.1,
111,1.2,0,1.2,
112,1.3,0,1.3,
113,1.4,0,1.4,
114,1.5,0,1.5,
115,1.6,0,1.6,
116,1.7,0,1.7,
117,1.8,0,1.8,
118,1.9,0,1.9,
119,2,0,2,
120,2.1,0,2.1,
121,2.2,0,2.2,
122,2.3,0,2.3,
123,2.4,0,2.4,
124,2.5,0,2.5,
125,2.6,0,2.6,
126,2.7,0,2.7,
127,2.8,0,2.8,
128,2.9,0,2.9,
129,3,0,3,
130,3.1,0,3.1,
131,3.2,0,3.2,
132,3.3,0,3.3,
133,3.4,0,3.4,
134,3.5,0,3.5,
135,3.6,0,3.6,
136,3.7,0,3.7,
137,3.8,0,3.8,
138,3.9,0,3.9,
139,4,0,4,
140,4.1,0,4.1,
141,4.2,0,4.2,
142,4.3,0,4.3,
143,4.4,0,4.4,
144,4.5,0,4.5,
145,4.6,0,4.6,
146,-0.4,0,-0.4,
147,-0.3,0,-0.3,
148,-0.2,0,-0.2,
149,-0.1,0,-0.1,
150,-1.25E-15,0,-1.25E-15,
151,0.1,0,0.1,
152,0.2,0,0.2,
153,0.3,0,0.3,
154,0.4,0,0.4,
155,0.5,0,0.5,
156,0.6,0,0.6,
157,0.7,0,0.7,
158,0.8,0,0.8,
159,0.9,0,0.9,
160,1,0,1,
161,1.1,0,1.1,
162,1.2,0,1.2,
163,1.3,0,1.3,
164,1.4,0,1.4,
165,1.5,0,1.5,
166,1.6,0,1.6,
167,1.7,0,1.7,
168,1.8,0,1.8,
169,1.9,0,1.9,
170,2,0,2,
171,2.1,0,2.1,
172,2.2,0,2.2,
173,2.3,0,2.3,
174,2.4,0,2.4,
175,2.5,0,2.5,
